name,ra,dec,category,detail,instrument
halo_GS_1,279.9735416666666,-62.76732222222222,MAGIC_Magellan,251018_MagE,MagE
halo_GS_2,298.1685416666666,-42.93966666666666,MAGIC_Magellan,251018_MagE,MagE
halo_GS_4,312.5079583333333,-66.22491666666667,MAGIC_Magellan,251018_MagE,MagE
halo_GS_5,357.0217916666667,-51.80586388888889,MAGIC_Magellan,251018_MagE,MagE
Sculptor_43838809,16.88008333333333,-33.21660555555556,MAGIC_Magellan,251018_MagE,MagE
Sculptor_43838888,17.190624999999997,-33.21992222222222,MAGIC_Magellan,251018_MagE,MagE
carina_10709729,98.87415780275634,-51.5598056715346,MAGIC_Magellan,251127_MagE,MagE
carina_26875464,99.98436182761584,-50.55331925369151,MAGIC_Magellan,251127_MagE,MagE
carina_26889544,99.01703978947813,-51.05155487841221,MAGIC_Magellan,251127_MagE,MagE
carina_26896112,101.49425360482178,-50.959771701733146,MAGIC_Magellan,251127_MagE,MagE
carina_30731391,100.54715121349943,-51.650814170703995,MAGIC_Magellan,251127_MagE,MagE
carina_42091495,101.89955594148022,-50.69572103113379,MAGIC_Magellan,251127_MagE,MagE
carina_42095595,101.80115133051872,-50.85900768220741,MAGIC_Magellan,251127_MagE,MagE
carina_6034968,102.25188584424716,-49.960269628699926,MAGIC_Magellan,251127_MagE,MagE
2m23213579-5634161,350.39912499999997,-56.57113888888889,MAGIC_Magellan,251212_MIKE,MIKE
2m23432010-5626436,355.83374999999995,-56.44544444444444,MAGIC_Magellan,251212_MIKE,MIKE
halo_12895459,50.9214967281516,-52.9883759326492,MAGIC_Magellan,251212_MIKE,MIKE
halo_14116708,61.3383669011259,-57.4753628524887,MAGIC_Magellan,251212_MIKE,MIKE
halo_15147918,83.3836770789658,-64.9295774697785,MAGIC_Magellan,251212_MIKE,MIKE
halo_22856339,85.4921423671222,-62.8130108957271,MAGIC_Magellan,251212_MIKE,MIKE
halo_9947375,24.4574549449119,-68.0055815897539,MAGIC_Magellan,251212_MIKE,MIKE
Carina_30720269,98.84320833333331,-50.915366666666664,MAGIC_Magellan,251227_MagE,MagE
halo_7922242,22.646610589033,-52.8865328693734,MAGIC_Magellan,251227_MagE,MagE
MAGIC_16470625,90.83608333333332,-66.12617499999999,MAGIC_Magellan,251227_MagE,MagE
MAGIC_16570336,91.35108333333332,-66.19992222222223,MAGIC_Magellan,251227_MagE,MagE
MAGIC_17049776,91.03712499999997,-67.08438333333334,MAGIC_Magellan,251227_MagE,MagE
MAGIC_18318467,34.808291666666655,-63.114536111111114,MAGIC_Magellan,251227_MagE,MagE
MAGIC_21749942,92.94766666666666,-67.71319166666667,MAGIC_Magellan,251227_MagE,MagE
MAGIC_5014654,116.68249999999998,-67.48604166666667,MAGIC_Magellan,251227_MagE,MagE
MAGIC_7781897,57.587958333333326,-60.808025,MAGIC_Magellan,251227_MagE,MagE
MAGIC_8499821,95.62033333333332,-75.752025,MAGIC_Magellan,251227_MagE,MagE
MAGIC_8542704,92.17741666666666,-77.01099166666667,MAGIC_Magellan,251227_MagE,MagE
halo_4480204,201.4247998897717,-47.28852901865626,MAGIC_Magellan,260125_MIKE,MIKE
halo_5156162,202.8929219774841,-47.911522523915295,MAGIC_Magellan,260125_MIKE,MIKE
halo_6789979,199.35601229819497,-13.996925349348743,MAGIC_Magellan,260125_MIKE,MIKE
halo_8437921,179.77066552942838,-16.22997415755935,MAGIC_Magellan,260125_MIKE,MIKE
LMC-003,73.40454166666665,-64.73265277777777,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-100,68.44733749999999,-67.62541944444443,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-104,79.50563333333332,-63.37404444444444,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-109,63.00818333333332,-66.0162111111111,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-119,87.96260833333332,-63.943777777777775,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-124,92.06242499999999,-62.12314722222222,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-204,68.33392916666666,-68.04496388888889,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-206,86.44438333333332,-65.7765,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-207,83.22882083333332,-64.88607777777779,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-215,89.1555125,-66.08829166666666,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-319,84.73289999999997,-64.36403333333332,nonMAGIC_Magellan,Chiti24_LMC,MagE
LMC-323,94.29418333333332,-73.99328055555556,nonMAGIC_Magellan,Chiti24_LMC,MagE
LMC-400,77.140725,-72.42431944444445,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-402,67.11463333333333,-69.36898888888888,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-403,81.80632916666666,-65.19615833333334,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-404,68.92039999999999,-66.15810555555557,nonMAGIC_Magellan,Chiti24_LMC,MagE
LMC-405,73.56943749999999,-64.83362777777778,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-406,78.991875,-64.82169444444445,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-407,73.9477,-64.21258055555556,nonMAGIC_Magellan,Chiti24_LMC,MIKE
LMC-409,88.76654583333332,-63.91199722222222,nonMAGIC_Magellan,Chiti24_LMC,MIKE
